rank,id,priority,owner,phase,action,evidence,next_command,unblock_evidence
"26","EX-037","P1","Product","Industry template execution","Create agency qualification rules.","Template includes qualification rules.","OWNER_ACTION_REQUIRED","Template includes qualification rules."
"27","EX-039","P1","Product","Industry template execution","Create ecommerce WhatsApp sequence.","Template includes WhatsApp sequence.","OWNER_ACTION_REQUIRED","Template includes WhatsApp sequence."
"28","EX-040","P1","Product","Industry template execution","Create ecommerce qualification rules.","Template includes qualification rules.","OWNER_ACTION_REQUIRED","Template includes qualification rules."
"29","EX-042","P1","Product","Activation execution","Define time_to_first_workflow event.","Metric spec includes event definition.","OWNER_ACTION_REQUIRED","Metric spec includes event definition."
"30","EX-043","P1","Product","Activation execution","Define time_to_first_lead_action event.","Metric spec includes event definition.","OWNER_ACTION_REQUIRED","Metric spec includes event definition."
"31","EX-044","P1","Product","Activation execution","Define onboarding_abandoned event.","Metric spec includes event definition.","OWNER_ACTION_REQUIRED","Metric spec includes event definition."
"32","EX-045","P1","Product","Activation execution","Define template_selected event.","Metric spec includes event definition.","OWNER_ACTION_REQUIRED","Metric spec includes event definition."
"33","EX-046","P1","Product","Activation execution","Define first_publish event.","Metric spec includes event definition.","OWNER_ACTION_REQUIRED","Metric spec includes event definition."
"34","EX-050","P1","Product","AI intelligence execution","Define cost_per_workflow metric.","Workflow intelligence spec includes metric formula.","OWNER_ACTION_REQUIRED","Workflow intelligence spec includes metric formula."
"35","EX-051","P1","Product","AI intelligence execution","Define cost_per_successful_action metric.","Workflow intelligence spec includes metric formula.","OWNER_ACTION_REQUIRED","Workflow intelligence spec includes metric formula."
"36","EX-052","P1","Product","AI intelligence execution","Define degraded_fallback_rate metric.","Workflow intelligence spec includes metric formula.","OWNER_ACTION_REQUIRED","Workflow intelligence spec includes metric formula."
"37","EX-053","P1","Product","AI intelligence execution","Define next_best_action v1 rules.","Workflow intelligence spec includes rule table.","OWNER_ACTION_REQUIRED","Workflow intelligence spec includes rule table."
"38","EX-054","P1","Product","AI intelligence execution","Define follow_up_quality_score rubric.","Workflow intelligence spec includes rubric.","OWNER_ACTION_REQUIRED","Workflow intelligence spec includes rubric."
"39","EX-055","P1","Product","AI intelligence execution","Define lead_qualification_confidence rubric.","Workflow intelligence spec includes rubric.","OWNER_ACTION_REQUIRED","Workflow intelligence spec includes rubric."
"40","EX-024","P1","Sales","Commercial moat execution","Define Enterprise proof requirements.","Enterprise row lists security, legal, SLA, and procurement proof.","OWNER_ACTION_REQUIRED","Enterprise row lists security, legal, SLA, and procurement proof."
"41","EX-025","P1","Sales","Commercial moat execution","Define paid onboarding package.","Pricing matrix includes onboarding package.","OWNER_ACTION_REQUIRED","Pricing matrix includes onboarding package."
"42","EX-059","P1","Sales","Sales execution","Create evidence-gated pilot offer brief.","Pilot offer brief, pilot readiness contract, fit gate, owner model, success criteria, and hosted pilot evidence gap.","OWNER_ACTION_REQUIRED","Pilot offer brief, pilot readiness contract, fit gate, owner model, success criteria, and hosted pilot evidence gap."
"43","EX-048","P1","Support","Activation execution","Create onboarding failure recovery checklist.","Checklist includes owners and triggers.","OWNER_ACTION_REQUIRED","Checklist includes owners and triggers."
"44","EX-064","P2","Engineering","Enterprise execution","Define RBAC expansion requirements.","Enterprise backlog includes RBAC row.","OWNER_ACTION_REQUIRED","Enterprise backlog includes RBAC row."
"45","EX-065","P2","Engineering","Enterprise execution","Define workspace policy requirements.","Enterprise backlog includes workspace policy row.","OWNER_ACTION_REQUIRED","Enterprise backlog includes workspace policy row."
"46","EX-066","P2","Engineering","Enterprise execution","Define audit export requirements.","Enterprise backlog includes audit export row.","OWNER_ACTION_REQUIRED","Enterprise backlog includes audit export row."
"47","EX-067","P2","Engineering","Enterprise execution","Define SSO/OIDC requirements.","Enterprise backlog includes SSO row.","OWNER_ACTION_REQUIRED","Enterprise backlog includes SSO row."
"48","EX-068","P2","Engineering","Enterprise execution","Define data residency position.","Enterprise backlog includes data residency row.","OWNER_ACTION_REQUIRED","Enterprise backlog includes data residency row."
